DestinationRef,Longitude,Latitude,Cluster
3001BR,151.0012589,-33.7975559,0
3002BR,149.2063,-35.347,0
3003BR,147.343011,-35.122016,0
3004BR,150.850019790289,-33.7609951000622,0
3005BR,153.129468098807,-30.2871257769877,2
3006BR,151.0618,-33.9378,0
3007BR,149.138642929604,-35.2158955349674,0
3008BR,151.661852,-32.961623,0
3009BR,150.69636269708,-33.7428174231798,0
3010BR,151.086686193552,-33.7219192040962,0
3011BR,150.908286594431,-33.7471312511648,0
3012BR,150.891714428309,-34.4295996764556,0
3013BR,151.327601073669,-33.4164928053447,0
3014BR,151.743010710594,-32.9173535335005,0
3015BR,151.211419477368,-33.8978199960113,0
3016BR,151.191354,-33.817031,0
3017BR,149.1314,-35.27565,0
3018BR,150.8161,-33.7838746304432,0
3019BR,150.9995,-33.9396,0
3020BR,151.274202,-33.766726,0
3021BR,152.888660339891,-31.4486267902689,2
3022BR,152.936172,-29.688706,2
3023BR,151.126993,-34.031554,0
3024BR,149.7018,-34.7624,0
3025BR,150.413271,-34.481945,0
3026BR,150.890825568223,-33.8524753318727,0
3027BR,151.032860228381,-33.8128160774982,0
3028BR,150.933901,-33.929643,0
3029BR,151.387656,-33.434333,0
3030BR,150.89295,-34.4084,0
3031BR,150.84934710125,-34.4497393110569,0
3032BR,150.8175,-34.57229,0
3033BR,151.147403925963,-33.890075501232,0
3034BR,150.811020558875,-33.6188948421492,0
3035BR,148.615848,-32.243218,0
3036BR,151.145839088858,-33.9591544564331,0
3037BR,146.066814515193,-34.2900954427003,0
3039BR,149.087419904112,-35.3546474498964,0
3040BR,150.977016,-33.734127,0
3041BR,151.3065,-33.6745,0
3042BR,151.6375,-32.787,0
3043BR,150.763693,-34.025752,0
3044BR,150.603537752138,-34.8784533252479,0
3045BR,141.471104410183,-31.954948591749,4
3046BR,152.07,-32.7528,0
3047BR,151.045013,-33.845607,0
3048BR,150.9076,-31.09149,2
3049BR,151.6474,-30.5164,2
3050BR,151.197710948609,-33.7869983205824,0
3051BR,151.12454722378,-33.8172756784648,0
3052BR,151.476,-33.1156,0
3053BR,151.072688701742,-34.0265833350664,0
3054BR,151.253384497947,-33.9013039369615,0
3055BR,151.695316,-32.988795,0
3056BR,151.143935899253,-33.7513278474207,0
3057BR,151.171207673331,-32.5611488763441,0
3058BR,151.353437,-32.840866,0
3059BR,150.843686,-34.463208,0
3060BR,150.8404146,-33.7169471,0
3061BR,150.879878701743,-33.9276409878478,0
3062BR,151.515785816527,-32.7121331478773,0
3063BR,151.497378948036,-33.2373286591614,0
3064BR,149.102298890647,-33.2907222600306,0
3065BR,148.162314607143,-33.153657899352,0
3066BR,151.094035640317,-33.8108334123363,0
3067BR,149.54346,-33.41468,0
3068BR,151.683723393717,-32.9038964398556,0
3069BR,151.191316,-33.816946,0
3070BR,151.211419477368,-33.8978199960113,0
3071BR,151.212232,-33.897721,0
3073BR,150.920969,-33.821441,0
3074BR,150.176821,-35.720061,0
3075BR,150.306468,-33.705465,0
3076BR,151.1724,-33.86075,0
3077BR,153.088380500784,-30.3156429300827,2
3078BR,149.598362284425,-32.6047372930387,0
3079BR,150.9465,-33.7788,0
3081BR,151.225158,-33.959808,0
3082BR,149.82547,-36.6655,0
3083BR,147.382741850764,-35.1219950576356,0
3084BR,151.74305,-32.91736,0
3085BR,153.2619,-28.821,2
3087BR,153.557114661463,-28.85028231935,2
3088BR,151.3921,-33.47349,0
3089BR,150.815195,-34.058457,0
3090BR,147.343011,-35.122016,0
3091BR,150.920969,-33.821441,0
3093BR,150.24441,-30.97545,2
3094BR,151.117103,-29.770965,2
3095BR,151.331736,-33.506652,0
3096BR,150.604073,-34.913194,0
3097BR,153.5789,-28.6351561875194,2
3098BR,148.299736,-34.312192,0
3099BR,151.705072,-32.94101,0
3100BR,151.422183,-33.319594,0
3101BR,149.058855,-35.242486,0
3102BR,149.138642929604,-35.2158955349674,0
3104BR,150.8161,-33.7838746304432,0
3105BR,151.218828,-33.760945,0
3107BR,151.63183,-32.81095,0
3108BR,150.815099,-34.058457,0
3110BR,150.763693,-34.025752,0
3111BR,151.422183,-33.319594,0
3112BR,151.75497,-32.913184,0
3113BR,150.8404146,-33.7169471,0
3114BR,150.898404,-32.278779,0
3115BR,151.6287509,-32.8104537,0
3116BR,151.748069,-32.781046,0
3120BR,150.816804,-34.572959,0
3121BR,150.8173,-34.57277,0
3122BR,151.03191,-33.69508,0
3125BR,151.1030151,-33.9189273868852,0
3130BR,151.63183,-32.81095,0
3134BR,152.844703,-31.074545,2
3136BR,149.107536639424,-33.3089450513417,0
3138BR,150.686391437367,-33.7673934284619,0
3139BR,151.273943,-33.76522,0
3140BR,151.273943,-33.76522,0
3141BR,150.98013,-33.87889,0
3142BR,150.98013,-33.87889,0
3147BR,149.058855,-35.242486,0
3148BR,151.2541804,-33.9014253,0
3149BR,150.918792,-33.683193,0
3150BR,149.169939,-35.32731,0
3151BR,151.17207200000001,-33.860547,0
3152BR,151.1199447,-34.0300551,0
3153BR,151.126993,-34.031554,0
3154BR,151.188625,-33.876694,0
3155BR,151.021285,-33.936702,0
3156BR,151.1024355,-33.9190623,0
3157BR,149.169939,-35.32731,0
3158BR,149.212007,-35.345096,0
3159BR,152.45618,-31.899288,2
3160BR,152.522759,-32.200053,2
3161BR,151.066035,-33.900128,0
3162BR,151.149567,-33.808185,0
3163BR,151.110662,-33.69683,0
3164BR,151.012649,-34.014916,0
3165BR,151.110662,-33.69683,0
3166BR,151.126993,-34.031554,0
3168BR,149.133329,-36.2326,0
3169BR,148.601884,-36.436506,0
3172BR,151.195811,-33.915255,0
3174BR,151.195811,-33.915255,0
3175BR,151.241675,-33.823665,0
3176BR,151.193182,-33.919638,0
3177BR,150.87551,-33.788026,0
3178BR,151.191257,-33.815317,0
3179BR,149.541528,-33.41353,0
3180BR,150.974536,-33.73107,0
3181BR,148.6137734,-32.2427919,0
3182BR,151.327827,-33.415724,0
3183BR,150.878868,-33.931498,0
3184BR,151.731154,-32.918459,0
3185BR,150.682614,-33.769436,0
3186BR,152.882415,-31.454932,2
3187BR,151.027895,-33.936037,0
3188BR,151.052079,-33.833909,0
3189BR,151.141793,-32.547343,0
3190BR,151.122608,-34.021103,0
3191BR,147.343011,-35.122016,0
3192BR,150.88933,-34.438,0
3193BR,149.171058,-35.323441,0
3194BR,151.167587,-33.908678,0
3195BR,149.175673,-35.333317,0
3196BR,147.342961,-35.121452,0
3197BR,150.848266,-33.761958,0
3198BR,150.981239,-33.732995,0
3199BR,149.851901,-29.482705,2
3200BR,153.087756,-30.312997,2
3201BR,153.087756,-30.312997,2
3203BR,150.911862,-31.086996,2
3204BR,150.763693,-34.025752,0
3205BR,150.959828,-33.851799,0
3206BR,150.915538,-33.826564,0
3207BR,150.915538,-33.826564,0
3209BR,151.167587,-33.908678,0
3211BR,150.905207,-33.841053,0
3213BR,151.191342,-33.816991,0
3214BR,150.815099,-34.058457,0
3217BR,151.008858,-33.77568,0
3220BR,150.753188404795,-34.0412623025645,0
3223BR,151.187729299624,-33.8148950672808,0
3226BR,153.088080794483,-30.3135719873926,2
3227BR,150.693602126984,-33.7688610286223,0
3228BR,150.693602126984,-33.7688610286223,0
3713BR,150.815195,-34.058457,0
4001BR,145.024425671104,-37.887214171367,0
4002BR,145.1414,-37.9231,0
4003BR,145.1353166086,-37.8194694637707,0
4004BR,145.285412186738,-37.7954801475285,0
4005BR,145.215883117024,-37.8295045044873,0
4006BR,145.141500799227,-38.1131983216595,0
4007BR,145.039538,-37.694301,0
4008BR,145.057041134114,-37.7514615447239,0
4009BR,145.120412567822,-37.7154048557672,0
4010BR,144.865739338457,-37.8406378690217,0
4011BR,145.004680000092,-37.8191486020432,0
4012BR,144.860853,-37.812546,0
4013BR,145.234618,-37.99893,0
4014BR,145.065939133803,-37.9758313204021,0
4015BR,145.2790597,-37.8829931,0
4016BR,144.9708,-37.7743,0
4017BR,144.720087457611,-37.5863771238585,0
4018BR,145.058476207977,-38.2366721181251,0
4019BR,144.926351075792,-37.7712315384408,0
4020BR,146.924368,-36.07808,0
4021BR,146.257134129361,-38.1747509452536,0
4022BR,144.35138,-38.16133,0
4023BR,144.956094873376,-37.8293456066038,0
4024BR,144.890898823231,-37.7247773651252,0
4025BR,142.029113,-37.742979,4
4026BR,142.169330585023,-34.1876963156246,4
4027BR,145.404363189885,-36.3818515096591,0
4028BR,144.989328875521,-38.3337111169822,0
4029BR,144.5945,-37.68383,0
4030BR,147.597526383262,-37.83751143014,0
4031BR,144.272072529732,-36.7619948168186,0
4032BR,145.1018,-37.85105,0
4033BR,145.345599013554,-37.7565336074611,0
4034BR,145.516846229923,-37.6540603837813,0
4035BR,145.076249053436,-37.8336322046762,0
4036BR,143.86468,-37.560753,0
4037BR,147.06769119832,-38.1003381382011,0
4038BR,144.8299,-37.7722,0
4039BR,144.85663,-38.3693,0
4040BR,145.198918634128,-37.990920370835,0
4042BR,144.702,-37.88085,0
4043BR,145.2825710448,-38.1020083750157,0
4044BR,145.589865,-38.601436,0
4045BR,142.487470042853,-38.3812958589574,4
4046BR,145.461657913336,-38.0633413661475,0
4047BR,146.553728526821,-38.1923040333043,0
4048BR,144.953942884625,-37.656412,0
4050BR,145.440127172853,-37.9321119141359,0
4051BR,144.7319,-36.14022,0
4052BR,145.1552,-37.6735,0
4053BR,146.8615,-36.1109,0
4054BR,142.20343,-36.718463,4
4055BR,145.1414,-37.9231,0
4057BR,145.215883117024,-37.8295045044873,0
4058BR,144.983356,-37.864143,0
4059BR,145.183597925437,-38.2924921068834,0
4060BR,143.557201653353,-35.3329558674074,0
4061BR,145.168058824153,-37.7490674195307,0
4062BR,144.845177,-37.693748,0
4063BR,144.8299,-37.7722,0
4064BR,145.1414,-37.9231,0
4065BR,143.589829389421,-38.3419930479713,0
4066BR,145.017169084864,-37.8550643402134,0
4067BR,146.924368,-36.07808,0
4068BR,143.816152,-37.567962,0
4069BR,145.345459,-37.756889,0
4070BR,145.058476207977,-38.2366721181251,0
4071BR,145.017169084864,-37.8550643402134,0
4073BR,144.344047298767,-38.1074399359069,0
4074BR,145.12161,-37.02126,0
4075BR,144.537994790226,-38.2517732035001,0
4078BR,146.313452149076,-36.3669776584819,0
4079BR,145.93856079715,-38.1662651784707,0
4080BR,144.458348686231,-37.2414585719414,0
4081BR,145.037,-37.8047,0
4082BR,144.3188064,-38.3091309,0
4084BR,144.953942,-37.656412,0
4085BR,144.754158449832,-37.7620815817553,0
4086BR,145.079249703953,-37.6566853168309,0
4087BR,144.670542563898,-37.8951405636438,0
4090BR,145.1015453,-37.8506115,0
4091BR,145.237585,-38.026643,0
4093BR,144.85939,-37.792561,0
4095BR,144.85939,-37.792561,0
4097BR,145.313061749398,-38.0247950299873,0
4098BR,141.604152107107,-38.3375584119123,4
4099BR,145.610049380844,-37.7817694392803,0
4100BR,144.975181373791,-37.7241199047492,0
4101BR,145.249759997976,-38.457630847446,0
4102BR,145.024425671104,-37.887214171367,0
4103BR,144.2056,-37.07243,0
4104BR,144.953942,-37.656412,0
4105BR,145.237585,-38.026643,0
4106BR,144.749666172499,-37.7762540183765,0
4107BR,145.079249703953,-37.6566853168309,0
4108BR,146.003324602231,-36.5460212914879,0
4110BR,146.0885,-37.04511,0
4111BR,142.947288189558,-37.284245609952,4
4112BR,144.3035,-36.7485,0
4113BR,145.461657913336,-38.0633413661476,0
4114BR,145.096042,-37.925873,0
4115BR,144.3413,-38.1066,0
4117BR,143.808432,-37.575869,0
4118BR,146.959743,-36.045356,0
4119BR,144.950034003929,-37.2813865267482,0
4120BR,148.000783141599,-37.8734307887382,0
4121BR,144.5765,-38.1739,0
4122BR,145.995668,-36.030907,0
4124BR,144.3485,-38.1171,0
4125BR,145.944906245956,-38.4725699035688,0
4126BR,145.1137,-37.51775,0
4127BR,145.179115,-38.222402,0
4129BR,145.167198,-38.088932,0
4130BR,146.8615,-36.1109,0
4131BR,145.2790597,-37.8829931,0
4133BR,146.435212,-38.235961,0
4134BR,145.128568,-38.089335,0
4135BR,144.796262850007,-37.7007506964173,0
4136BR,145.012305,-37.819699,0
4138BR,145.234618,-37.99893,0
4139BR,145.0569538,-37.7519823,0
4141BR,144.44134,-37.68792,0
4142BR,145.009424,-37.817811,0
4143BR,145.009424,-37.817811,0
4144BR,145.243274,-37.90556,0
4145BR,144.2428,-36.80765,0
4146BR,144.2428,-36.80765,0
4147BR,144.2428,-36.80765,0
4148BR,144.34667,-38.193623,0
4149BR,144.364182,-38.172989,0
4150BR,145.843838,-38.12065,0
4151BR,142.45542,-38.37134,4
4153BR,145.282682,-37.829492,0
4154BR,146.959743,-36.045356,0
4155BR,145.010655,-37.907507,0
4157BR,145.02341,-37.76864,0
4158BR,145.02341,-37.76864,0
4159BR,145.02341,-37.76864,0
4161BR,146.257134129361,-38.1747509452536,0
4165BR,144.890906,-37.724769,0
4166BR,144.5945,-37.68383,0
4168BR,144.876524,-37.779379,0
4169BR,144.936359,-37.794781,0
4172BR,144.91904,-37.832065,0
4176BR,145.1356135,-38.0357077,0
4177BR,145.010655,-37.907507,0
4178BR,144.907271,-37.7433564,0
4179BR,143.835738,-37.541236,0
4180BR,144.99383,-37.798963,0
4181BR,145.282682,-37.829492,0
4182BR,144.271471,-36.77023,0
4183BR,145.187219,-37.832215,0
4184BR,144.845177,-37.693748,0
4185BR,144.3660633,-38.1725818,0
4186BR,145.257876,-38.015063,0
4187BR,144.787627,-37.819546,0
4188BR,142.178162,-34.195041,4
4189BR,145.076062,-37.943831,0
4190BR,145.16273,-37.920976,0
4191BR,145.020174,-37.746135,0
4192BR,145.418764482846,-36.3880508684417,0
4193BR,146.554424,-38.191357,0
4194BR,144.933784,-37.803313,0
4195BR,146.919625,-36.093302,0
4197BR,146.9619,-36.063194,0
4198BR,145.260608,-38.010194,0
4200BR,143.808432,-37.575869,0
4201BR,145.282682,-37.829492,0
4202BR,145.2099,-38.004806,0
4203BR,144.7472255,-37.7762874,0
4204BR,145.033283,-37.689958,0
4205BR,146.570096,-38.189516,0
4206BR,144.309382,-36.749578,0
4207BR,144.364182,-38.172989,0
4209BR,145.167198,-38.088932,0
4212BR,144.937168,-37.83085,0
4213BR,145.033268,-37.689957,0
4214BR,145.282682,-37.829492,0
4215BR,144.845177,-37.693748,0
4217BR,143.808432,-37.575869,0
4218BR,145.167816,-38.089142,0
4219BR,143.816152,-37.567962,0
4220BR,145.141500799227,-38.1131983216595,0
4222BR,144.85939,-37.792561,0
4225BR,145.41969768972,-36.3879267539195,0
4226BR,145.234618,-37.99893,0
4229BR,145.420082671164,-36.3879182047051,0
4230BR,146.25721,-38.17459,0
4603BR,144.9933686,-37.8300515,0
4702BR,145.1414,-37.9231,0
4703BR,144.8299,-37.7722,0
4712BR,144.953374884625,-37.6564782979916,0
4719BR,145.02341,-37.76864,0
4913BR,144.9933686,-37.8300515,0
5001BR,153.383682,-27.932671,2
5002BR,153.050372129143,-27.6624255958574,2
5003BR,153.05026,-27.3693,2
5004BR,153.4319,-28.0399,2
5005BR,153.424590130961,-28.1043854311607,2
5006BR,152.99352,-27.42008,2
5007BR,153.112187,-27.620193,2
5008BR,153.20105720312,-27.5343282426514,2
5009BR,152.950222492218,-27.1115291427166,2
5011BR,153.0935,-26.6731,2
5012BR,153.00599745686,-27.4764285455738,2
5013BR,153.04859,-26.41105,2
5014BR,153.029758881013,-27.3996968986145,2
5015BR,153.111729,-26.796294,2
5016BR,152.761,-27.608,2
5017BR,152.830890925108,-25.2853071556127,2
5019BR,153.344432,-28.006707,2
5021BR,145.760206942328,-16.9315789101504,2
5022BR,146.7815621823,-19.2719047966683,2
5023BR,139.505257073899,-20.7035024719454,3
5024BR,149.190085,-21.140923,2
5026BR,153.5352,-28.2044,2
5027BR,152.356870863237,-24.8652113601082,2
5028BR,153.045071,-27.491422,2
5029BR,151.949457369229,-27.5565226458859,2
5030BR,153.0848,-27.4572559,2
5032BR,148.689567809382,-20.2822810430857,2
5033BR,153.183951355408,-27.7200677646326,2
5034BR,153.0432,-27.4392,2
5035BR,150.5070566,-23.380566,2
5036BR,145.7453,-17.00334,2
5039BR,145.694794207942,-16.8355527113347,2
5041BR,152.983126,-27.317116,2
5042BR,153.314137339206,-27.884919927955,2
5043BR,153.0827,-27.2347,2
5044BR,152.977615662279,-27.4932238784076,2
5045BR,153.172916413484,-27.4474612610285,2
5046BR,145.74571,-16.914425,2
5047BR,153.098238,-27.532538,2
5048BR,153.314119,-27.888307,2
5049BR,145.760206942328,-16.9315789101504,2
5050BR,146.019474812787,-17.5241427242057,2
5051BR,153.024597,-27.836175,2
5054BR,151.924,-27.5734,2
5055BR,146.7195,-19.3200437253441,2
5056BR,146.7195,-19.3200437253441,2
5057BR,146.777418,-19.266345,2
5058BR,153.0858067,-27.42,2
5059BR,149.1586,-21.1290136,2
5060BR,153.070069,-26.526178,2
5061BR,152.97637,-27.495112,2
5062BR,152.919762,-27.614946,2
5063BR,145.466516,-16.536798,2
5064BR,153.410322846575,-28.0081461413914,2
5065BR,150.743089,-23.139949,2
5066BR,152.919028,-27.654251,2
5067BR,152.036741739189,-28.2167975112699,2
5068BR,153.314119,-27.888307,2
5070BR,150.50874,-23.337847,2
5071BR,153.0403106,-27.4489307,2
5072BR,152.702896,-25.540485,2
5073BR,148.152871,-23.524846,2
5074BR,153.070069,-26.526178,2
5076BR,153.411285,-28.003067,2
5077BR,152.95084,-26.6321,2
5080BR,153.093027,-26.673336,2
5081BR,153.2392158,-27.7605889,2
5082BR,153.344432,-28.006707,2
5084BR,152.950222492218,-27.1115291427166,2
5087BR,148.23196,-20.00893,2
5091BR,153.0853782,-27.421208,2
5092BR,152.99352,-27.42008,2
5093BR,152.99352,-27.42008,2
5094BR,152.99352,-27.42008,2
5095BR,152.655818,-26.187334,2
5097BR,145.475764,-17.253774,2
5098BR,153.128662,-26.725134,2
5099BR,151.841452,-26.560331,2
5101BR,152.738886,-27.660246,2
5104BR,153.283958,-27.625523,2
5106BR,153.040691,-27.486454,2
5107BR,153.022208,-27.561018,2
5111BR,153.004567,-27.229208,2
5112BR,152.934939,-27.563136,2
5113BR,151.247304,-27.173923,2
5114BR,151.273622,-23.878681,2
5115BR,153.188936,-27.678504,2
5116BR,148.012608,-21.986402,2
5117BR,146.820404,-19.309328,2
5125BR,152.988284,-27.3253,2
5126BR,152.358611,-24.866222,2
5127BR,145.7615311,-16.9397825,2
5128BR,153.202094,-27.529865,2
5129BR,151.231032,-23.868648,2
5131BR,152.825147,-25.285032,2
5132BR,152.750418,-27.62266,2
5133BR,149.193763,-21.14311,2
5134BR,153.086559,-26.670518,2
5135BR,150.5087309,-23.3378508,2
5136BR,153.0365015,-27.5422296,2
5137BR,153.120876,-27.624967,2
5138BR,153.408957,-27.979599,2
5139BR,153.007934,-27.443421,2
5140BR,146.75984,-19.271363,2
5141BR,153.542369,-28.200456,2
5142BR,153.0230988,-27.5612781,2
5144BR,153.098238,-27.532538,2
5146BR,152.9461,-27.070857,2
5147BR,153.009926,-27.442443,2
5148BR,151.910347,-27.547656,2
5149BR,145.745718,-16.914433,2
5150BR,152.919897,-27.614766,2
5151BR,153.046401,-26.41892,2
5152BR,153.0871426,-27.4209493,2
5153BR,153.377787,-27.976353,2
5154BR,146.777876,-19.266403,2
5157BR,139.50526,-20.703498,3
5158BR,152.950185,-27.111534,2
5159BR,152.99288,-27.20832,2
5160BR,153.118554,-26.797123,2
5161BR,153.09882,-27.458038,2
5169BR,153.53575,-28.20559,2
5172BR,151.947475,-27.565474,2
5174BR,146.758059,-19.279357,2
5710BR,152.99352,-27.42008,2
5886BR,153.0230988,-27.5612781,2
6002BR,138.559756,-34.9419902,4
6003BR,138.630459597516,-34.9133309496553,4
6004BR,138.555723,-35.064891,4
6005BR,138.664621,-34.770631,4
6006BR,138.70676744461,-34.828920273663,4
6007BR,138.5388,-34.988,4
6008BR,138.591483,-34.92505,4
6009BR,138.591483,-34.92505,4
6011BR,138.590885,-34.848834,4
6012BR,138.493,-35.1172,4
6013BR,140.79152,-37.81515,4
6014BR,138.8755,-35.0755,4
6015BR,138.571575,-34.845084,4
6016BR,138.738,-34.5911,4
6017BR,138.513634904009,-34.876970889559,4
6018BR,138.592294464357,-34.9856062508313,4
6019BR,138.61429079165,-35.5580898660244,4
6020BR,137.5306504,-33.0311957,4
6021BR,138.638427257538,-34.8703872899351,4
6022BR,135.860228,-34.723849,4
6023BR,139.255264403548,-35.1239443107224,4
6024BR,140.76115,-36.9518,4
6026BR,140.602910426042,-34.2677208441703,4
6028BR,137.696,-33.9594,4
6029BR,138.505468,-34.851976,4
6030BR,138.638427257538,-34.8703872899351,4
6031BR,138.493,-35.1172,4
6032BR,138.506882,-35.110178,4
6033BR,138.62658,-34.921259,4
6037BR,138.478,-35.191,4
6041BR,138.682682,-34.876209,4
6042BR,138.615797,-35.017856,4
6043BR,138.591483,-34.92505,4
6044BR,138.607695,-34.796821,4
6045BR,138.5744477,-34.9378904839086,4
6046BR,137.550618,-33.036513,4
6047BR,138.501561,-35.116342,4
6048BR,138.60734,-34.827509,4
6050BR,138.561516,-34.844707,4
6052BR,138.6686,-34.71427,4
6053BR,138.502156,-35.116265,4
6055BR,138.6051426,-34.71777356,4
6056BR,138.561516,-34.844707,4
6091BR,138.561516,-34.844707,4
6092BR,138.561516,-34.844707,4
6702BR,138.59110876608,-34.92531686128,4
6886BR,138.60734,-34.827509,4
7001BR,115.8086719,-31.9035783,1
7002BR,115.648114693132,-33.3330832778888,1
7003BR,115.9515,-32.02575,1
7004BR,121.48197,-30.75338,1
7005BR,117.87343,-34.992945,1
7006BR,114.6274,-28.7488,1
7007BR,115.762638,-31.748977,1
7008BR,115.740182969469,-32.5188987608602,1
7009BR,115.3435,-33.667,1
7010BR,115.822323679217,-32.0443539777051,1
7011BR,116.033035,-31.886504,1
7012BR,115.866239064608,-31.9462577949671,1
7013BR,115.778988,-32.276531,1
7014BR,115.7609,-32.0764,1
7015BR,115.92436,-31.957701,1
7016BR,115.92436,-31.957701,1
7017BR,115.895253,-31.898091,1
7018BR,115.786360291873,-31.9822080499803,1
7019BR,116.009594019996,-32.1304857430033,1
7020BR,115.8962,-31.8559,1
7021BR,115.8314,-31.7985,1
7022BR,115.907098383994,-32.0602567416799,1
7023BR,115.92436,-31.957701,1
7024BR,115.813137477004,-31.9090090033162,1
7025BR,115.813137477004,-31.9090090033162,1
7026BR,115.907098383994,-32.0602567416799,1
7027BR,115.722242,-31.692504,1
7028BR,115.76197,-32.37033,1
7029BR,115.8962,-31.8559,1
7031BR,115.867,-32.12059,1
7034BR,115.81279,-31.90929,1
7036BR,115.8086719,-31.9035783,1
7037BR,115.07111,-33.96176,1
7038BR,115.8104,-31.858331,1
7040BR,115.8361,-31.796935,1
7042BR,118.601259,-20.378283,1
7044BR,115.913818,-32.063104,1
7045BR,115.8640299,-32.0974523,1
7046BR,116.879768,-20.760458,1
7047BR,115.680652,-33.35966,1
7048BR,115.841914,-31.942524,1
7049BR,115.967225,-31.778598,1
7050BR,115.9228525,-31.9482688,1
7051BR,115.648967,-33.338791,1
7052BR,115.898607,-31.86567,1
7053BR,115.784356,-32.061307,1
7054BR,115.810795,-31.9035783,1
7055BR,115.865552,-32.122104,1
7056BR,115.841953,-31.79159,1
7057BR,115.778988,-32.276531,1
7059BR,116.842559,-20.730956,1
7061BR,115.8640299,-32.0974523,1
7067BR,115.838534,-31.795538,1
7091BR,115.813137477004,-31.9090090033162,1
7701BR,115.92436,-31.957701,1
8001BR,147.318827946521,-42.8792036365435,0
8002BR,147.298858,-42.836275,0
8003BR,147.291789778706,-42.842417039517,0
8004BR,147.1331299,-41.4133077,0
8005BR,147.393221543298,-42.8629519088409,0
8007BR,147.298858,-42.836275,0
8009BR,145.945436,-41.066891,0
8010BR,147.315507531166,-42.9730314644667,0
8011BR,146.33856,-41.18015,0
8014BR,147.151822,-41.476459,0
8015BR,147.143055,-41.451846,0
8017BR,147.468873,-42.830154,0
8018BR,146.33856,-41.18015,0
8019BR,147.289587,-42.841069,0
8020BR,147.151837,-41.476456,0
9001BR,130.929296658896,-12.4368611073182,3
9003BR,130.9907,-12.4735,3
9004BR,133.863,-23.6897,3
9005BR,130.841039394597,-12.4472938875892,3
9006BR,130.855646,-12.401724,3
9007BR,130.929296658896,-12.4368611073182,3
9008BR,130.869043,-12.428968,3
9009BR,130.919819,-12.433273,3
9010BR,130.99232,-12.472446,3
9012BR,132.288114,-14.476948,3
9014BR,130.929319,-12.436948,3
